Date,Heure,S2OTemp,S2OHR
30/12/2017,08:00:01,9.9,103.4
30/12/2017,09:00:01,10.5,104
30/12/2017,10:00:01,11.8,98.1
30/12/2017,11:00:01,13,91.1
30/12/2017,12:00:01,14.4,85.2
30/12/2017,13:00:01,15.7,81.2
30/12/2017,14:00:01,14.7,83.3
30/12/2017,15:00:01,14,90.3
30/12/2017,16:00:01,12.7,103.7
30/12/2017,17:00:01,12.7,103.8
30/12/2017,18:00:01,13.4,100.7
30/12/2017,19:00:01,13.9,94.6
30/12/2017,20:00:01,13.5,96.5
30/12/2017,21:00:01,13.2,97
30/12/2017,22:00:01,13.3,91.9
30/12/2017,23:00:01,13.2,88.9
31/12/2017,00:00:01,12.8,93.4
31/12/2017,01:00:01,13,90.3
31/12/2017,02:00:01,13,86.8
31/12/2017,03:00:01,12.9,86.9
31/12/2017,04:00:01,12.7,88
31/12/2017,05:00:01,12.5,92
31/12/2017,06:00:01,12.4,89
31/12/2017,07:00:01,12.4,91.2
31/12/2017,08:00:01,12.6,87.6
31/12/2017,09:00:01,12.8,87.6
31/12/2017,10:00:01,13,85.1
31/12/2017,11:00:01,13.5,79.7
31/12/2017,12:00:01,13.6,78
31/12/2017,13:00:01,14,77.2
31/12/2017,14:00:01,14.4,75.2
31/12/2017,15:00:01,14.2,73.4
31/12/2017,16:00:01,13.7,74.7
31/12/2017,17:00:01,13.7,73.3
31/12/2017,18:00:01,13.1,88.3
31/12/2017,19:00:01,9.9,103.6
31/12/2017,20:00:01,9.5,104.6
31/12/2017,21:00:01,10,103.7
31/12/2017,22:00:01,9.5,89.7
31/12/2017,23:00:01,9.5,83.7
01/01/2018,00:00:01,9.3,82.8
01/01/2018,01:00:01,8.8,92.2
01/01/2018,02:00:01,8.6,80.8
01/01/2018,03:00:01,8.7,79.4
01/01/2018,04:00:01,7.5,87.6
01/01/2018,05:00:01,7.5,82.4
01/01/2018,06:00:01,7.2,84.5
01/01/2018,07:00:01,7.2,85.2
01/01/2018,08:00:01,7.2,84.9
01/01/2018,09:00:01,7.1,85.7
01/01/2018,10:00:01,7.3,87.7
01/01/2018,11:00:01,7.8,86.7
01/01/2018,12:00:01,6.3,100.4
01/01/2018,13:00:01,5.5,104.8
01/01/2018,14:00:01,6.3,105
01/01/2018,15:00:01,7.1,105.2
01/01/2018,16:00:01,7.8,105.6
01/01/2018,17:00:01,7.5,104.4
01/01/2018,18:00:01,7.3,105.2
01/01/2018,19:00:01,6.9,106.2
01/01/2018,20:00:01,6.7,102.3
01/01/2018,21:00:01,6.3,99.7
01/01/2018,22:00:01,5.6,102.4
01/01/2018,23:00:01,5.8,99.8
02/01/2018,00:00:01,6.3,95.1
02/01/2018,01:00:01,6.3,92.9
02/01/2018,02:00:01,6.3,93.2
02/01/2018,03:00:01,6.3,92.3
02/01/2018,04:00:01,6,93.8
02/01/2018,05:00:01,5.6,93.7
02/01/2018,06:00:01,6,94.1
02/01/2018,07:00:01,5.3,96.2
02/01/2018,08:00:01,5.1,94.8
02/01/2018,09:00:01,5.5,95.5
